B,candidate_idx,sample_idx,d,rank
100,2,10,0.5033316095218925,7
100,3,10,11.419462690905881,24
100,4,10,2.1846112815908936,15
100,5,10,18.752757260361456,26
100,6,10,5.803392963654604,20
100,7,10,0.11419229728740349,4
100,8,10,2.6587278124123435,16
100,9,10,3.7859216020808217,18
100,10,10,0.4856122727497003,6
100,11,10,1.1662721434670853,11
100,12,10,4.492388915799795,19
100,13,10,12.729704323364277,25
100,14,10,0.6173151089587863,10
100,15,10,27.7772919858681,29
100,16,10,0.08820729658416897,0
100,17,10,10.212272401384663,23
100,18,10,22.331530414812136,27
100,19,10,0.10218416481011972,3
100,20,10,0.5193158858519937,9
100,21,10,7.283185329634942,21
100,22,10,1.240149118979328,12
100,23,10,25.611916333546056,28
100,24,10,1.732734789173207,13
100,25,10,8.03731439484811,22
100,26,10,0.29001819279271795,5
100,27,10,0.09989571868118083,2
100,28,10,0.09815227159155017,1
100,29,10,0.5105709867669621,8
100,0,11,1.4774468539613952,13
100,1,11,4.476241088734607,18
100,2,11,0.397674128530261,6
100,3,11,12.306269378951182,25
100,4,11,1.8901266175650007,15
100,5,11,18.69060256513955,26
100,6,11,6.22330433318179,20
100,7,11,0.11396074830113079,4
100,8,11,3.396668240052812,16
100,9,11,3.8184534391312144,17
100,10,11,0.4091833256013237,7
100,11,11,1.192469760928723,11
100,12,11,4.6052127384646155,19
100,13,11,9.583137408778173,23
100,14,11,0.6378475457432546,10
100,15,11,26.576794515819323,28
100,16,11,0.10490031478145123,2
100,17,11,10.912750496730094,24
100,18,11,22.578480884963945,27
100,19,11,0.09817458225309167,0
100,20,11,0.5443956526852476,8
100,21,11,7.198395426050527,21
100,22,11,1.205661488511207,12
100,23,11,27.445221397946483,29
100,24,11,1.8283358946936588,14
100,25,11,8.495276443733028,22
100,26,11,0.3003910478942311,5
100,27,11,0.10260080203853589,1
100,28,11,0.11258698125122985,3
100,29,11,0.6304936205843977,9
100,0,12,1.779630027262189,14
100,1,12,3.7634654265758067,19
100,2,12,0.40002297068759757,6
100,3,12,11.901314391166993,24
100,4,12,1.68181820203625,13
100,5,12,20.13267351303923,26
100,6,12,5.742435524106571,20
100,7,12,0.11055046131181254,2
100,8,12,2.794430585743542,16
100,9,12,3.5135289248091217,17
100,10,12,0.49583258935155194,8
100,11,12,1.2281821127177968,12
100,12,12,3.7108704686617253,18
100,13,12,12.572105449272025,25
100,14,12,0.5956572903508173,10
100,15,12,24.189507161924375,28
100,16,12,0.10760876516102759,1
100,17,12,11.47838601978273,23
100,18,12,21.88417591047218,27
100,19,12,0.0904195730830656,0
100,20,12,0.46573758999198295,7
100,21,12,7.423469567712434,21
100,22,12,1.1685256158523265,11
100,23,12,28.475810044458086,29
100,24,12,2.034578242510911,15
100,25,12,9.653639543328492,22
100,26,12,0.3701046624261668,5
100,27,12,0.12941258797368524,4
100,28,12,0.11451202263909008,3
100,29,12,0.5897831845514094,9
100,0,13,1.9513034923159827,14
100,1,13,3.8255834682839747,18
100,2,13,0.41115782087504293,6
100,3,13,12.15790138389555,25
100,4,13,1.7598625447737093,13
100,5,13,20.68417452622915,27
100,6,13,5.70141564414153,20
100,7,13,0.10446804536605586,1
100,8,13,2.8704967988561005,16
100,9,13,3.691996292846236,17
100,10,13,0.49896458501440355,8
100,11,13,1.0396545921922629,11
100,12,13,3.952707285297842,19
100,13,13,11.914023105703773,24
100,14,13,0.5953728162573375,9
100,15,13,29.61822274081503,29
100,16,13,0.10634847289346427,2
100,17,13,9.365174919144252,22
100,18,13,16.72844169877568,26
100,19,13,0.10016372338782008,0
100,20,13,0.45267031778642375,7
100,21,13,6.134301368832503,21
100,22,13,1.0518763429451548,12
100,23,13,25.553591424252232,28
100,24,13,2.051371854887615,15
100,25,13,9.939955162978158,23
100,26,13,0.31418219647993595,5
100,27,13,0.11072566609693302,3
100,28,13,0.11646977503794684,4
100,29,13,0.6057552839884776,10
100,0,14,1.885446105223189,14
100,1,14,3.69214928357163,17
100,2,14,0.4952785163617637,7
100,3,14,13.89429093726432,25
100,4,14,1.7562322602550076,13
100,5,14,21.332909234634755,27
100,6,14,6.515721355549373,20
100,7,14,0.09051458521681745,0
100,8,14,3.073968715197652,16
100,9,14,4.492192087072258,18
100,10,14,0.4681179118084,6
100,11,14,1.2730003664792013,12
100,12,14,5.07377938307662,19
100,13,14,10.956297880177015,23
