epoch,train_acc,test_acc,train_loss,epoch_time_s
251,0.8342,0.815,0.057112,0.007
252,0.8328,0.814,0.057044,0.005
253,0.8334,0.817,0.056889,0.007
254,0.8339,0.808,0.05681,0.007
255,0.8373,0.811,0.056444,0.008
256,0.8348,0.813,0.056435,0.008
257,0.8361,0.817,0.056147,0.008
258,0.8376,0.816,0.056101,0.006
259,0.8363,0.819,0.056035,0.009
260,0.8374,0.818,0.055828,0.007
261,0.8376,0.815,0.055473,0.006
262,0.8391,0.82,0.055332,0.006
263,0.8394,0.821,0.055273,0.006
264,0.8409,0.817,0.055145,0.007
265,0.8385,0.817,0.055113,0.009
266,0.8424,0.823,0.054658,0.007
267,0.842,0.827,0.054602,0.006
268,0.8429,0.828,0.054452,0.007
269,0.8427,0.822,0.054263,0.007
270,0.8438,0.823,0.054167,0.006
271,0.842,0.822,0.054183,0.007
272,0.8437,0.827,0.05385,0.006
273,0.8447,0.822,0.053744,0.006
274,0.8419,0.821,0.05389,0.007
275,0.8451,0.823,0.053508,0.005
276,0.8458,0.832,0.05332,0.006
277,0.8456,0.825,0.0532,0.007
278,0.8449,0.829,0.053073,0.008
279,0.8438,0.824,0.053036,0.004
280,0.8434,0.823,0.052965,0.004
281,0.8456,0.822,0.052721,0.003
282,0.8445,0.822,0.052627,0.004
283,0.8462,0.825,0.052372,0.004
284,0.8469,0.826,0.052153,0.004
285,0.8462,0.827,0.052072,0.006
286,0.8482,0.836,0.051988,0.004
287,0.8487,0.827,0.05184,0.004
288,0.8503,0.833,0.051706,0.003
289,0.851,0.834,0.051622,0.004
290,0.8508,0.836,0.051625,0.004
291,0.8527,0.833,0.051262,0.003
292,0.8528,0.835,0.051161,0.005
293,0.8524,0.834,0.051067,0.004
294,0.8527,0.836,0.050926,0.007
295,0.8536,0.832,0.05072,0.007
296,0.855,0.832,0.05062,0.007
297,0.855,0.841,0.050692,0.006
298,0.8534,0.843,0.050371,0.006
299,0.855,0.839,0.050306,0.008
300,0.853,0.831,0.050172,0.008
301,0.856,0.84,0.050047,0.006
302,0.8546,0.828,0.049852,0.007
303,0.8553,0.837,0.049723,0.006
304,0.8571,0.838,0.049748,0.008
305,0.8574,0.843,0.04958,0.007
306,0.8504,0.83,0.050126,0.008
307,0.8558,0.837,0.049323,0.008
308,0.8559,0.846,0.049225,0.007
309,0.8564,0.847,0.049057,0.007
310,0.8579,0.843,0.048976,0.009
311,0.8587,0.841,0.048841,0.008
312,0.862,0.84,0.04877,0.009
313,0.8607,0.842,0.048666,0.009
314,0.8601,0.844,0.048466,0.006
315,0.8606,0.839,0.048725,0.008
316,0.86,0.841,0.048199,0.008
317,0.8619,0.841,0.048079,0.008
318,0.8609,0.838,0.048189,0.006
319,0.8619,0.844,0.047993,0.007
320,0.8643,0.843,0.048062,0.006
321,0.8616,0.847,0.048041,0.006
322,0.8628,0.844,0.047794,0.007
323,0.8655,0.842,0.047503,0.008
324,0.8648,0.844,0.04736,0.007
325,0.8657,0.85,0.047354,0.007
326,0.8652,0.85,0.047328,0.006
327,0.8651,0.851,0.047141,0.008
328,0.8651,0.848,0.046963,0.008
329,0.8659,0.851,0.046926,0.007
330,0.8664,0.848,0.04682,0.008
331,0.8671,0.85,0.046676,0.008
332,0.8651,0.852,0.046816,0.006
333,0.8639,0.85,0.046631,0.007
334,0.867,0.854,0.046327,0.006
335,0.8694,0.851,0.046324,0.009
336,0.8697,0.854,0.046129,0.007
337,0.8702,0.856,0.045988,0.008
338,0.8708,0.851,0.046011,0.007
339,0.8694,0.85,0.045883,0.008
340,0.8699,0.855,0.045772,0.008
341,0.8688,0.851,0.045738,0.005
342,0.8723,0.855,0.045545,0.006
343,0.8703,0.85,0.045698,0.008
344,0.8701,0.855,0.045404,0.006
345,0.8712,0.856,0.045316,0.005
346,0.8714,0.855,0.045165,0.007
347,0.8721,0.853,0.04507,0.009
348,0.8731,0.857,0.044933,0.005
349,0.8717,0.851,0.045079,0.006
350,0.8739,0.855,0.044751,0.005
351,0.8733,0.86,0.044753,0.007
352,0.8731,0.859,0.044614,0.006
353,0.8741,0.855,0.044578,0.007
354,0.8751,0.853,0.044397,0.008
355,0.8731,0.854,0.044258,0.007
356,0.8725,0.859,0.04461,0.007
357,0.8749,0.853,0.044058,0.008
358,0.875,0.86,0.043973,0.008
359,0.8744,0.862,0.043915,0.007
360,0.8762,0.85,0.043986,0.006
361,0.876,0.852,0.043833,0.006
362,0.8765,0.861,0.043694,0.006
363,0.8763,0.861,0.043511,0.006
364,0.8776,0.864,0.043798,0.006
365,0.8776,0.862,0.043252,0.007
366,0.8773,0.861,0.043301,0.008
367,0.8781,0.864,0.04324,0.006
368,0.8765,0.86,0.043423,0.006
369,0.877,0.859,0.04321,0.008
370,0.8776,0.864,0.042998,0.007
371,0.8779,0.863,0.042806,0.007
372,0.8783,0.862,0.042667,0.006
373,0.8804,0.861,0.042632,0.006
374,0.879,0.864,0.042758,0.008
375,0.8794,0.861,0.042564,0.008
376,0.8804,0.861,0.04251,0.006
377,0.8796,0.86,0.0426,0.007
378,0.8796,0.859,0.04226,0.007
379,0.88,0.86,0.042241,0.005
380,0.8818,0.859,0.042122,0.007
381,0.8813,0.863,0.041909,0.007
382,0.8828,0.864,0.042016,0.006
383,0.8812,0.862,0.042149,0.007
384,0.8815,0.861,0.041936,0.006
385,0.8818,0.865,0.041928,0.008
386,0.8816,0.863,0.041602,0.007
387,0.8832,0.869,0.041427,0.006
388,0.8842,0.868,0.041519,0.006
389,0.8834,0.869,0.041423,0.007
390,0.8834,0.868,0.041357,0.007
391,0.884,0.865,0.041169,0.005
392,0.8851,0.866,0.041161,0.008
393,0.885,0.87,0.041048,0.006
394,0.8851,0.863,0.041099,0.008
395,0.8852,0.869,0.040856,0.009
396,0.8856,0.866,0.041011,0.006
397,0.8857,0.867,0.040668,0.004
398,0.8863,0.867,0.040731,0.003
399,0.8848,0.868,0.040675,0.004
400,0.8863,0.864,0.040547,0.004
401,0.8862,0.866,0.040368,0.003
402,0.8875,0.862,0.040359,0.004
403,0.8879,0.868,0.040191,0.003
404,0.8894,0.867,0.040152,0.004
405,0.8858,0.865,0.040585,0.003
406,0.8876,0.868,0.040326,0.003
407,0.8881,0.868,0.040293,0.004
408,0.8865,0.864,0.040318,0.004
409,0.8874,0.865,0.039987,0.003
410,0.8889,0.868,0.039841,0.004
411,0.888,0.87,0.039703,0.004
412,0.8897,0.87,0.039617,0.004
413,0.8896,0.868,0.039618,0.01
414,0.8903,0.868,0.039421,0.006
415,0.8916,0.873,0.039402,0.007
416,0.8907,0.868,0.039268,0.008
417,0.8903,0.871,0.039258,0.006
418,0.8918,0.873,0.03907,0.007
419,0.8899,0.869,0.039174,0.007
420,0.8906,0.872,0.038946,0.01
421,0.8911,0.87,0.038979,0.008
422,0.8923,0.874,0.038878,0.007
423,0.8927,0.871,0.038956,0.005
424,0.8913,0.871,0.038868,0.006
425,0.8931,0.872,0.038739,0.007
426,0.8923,0.868,0.038643,0.006
427,0.8925,0.87,0.038541,0.007
428,0.8926,0.871,0.038509,0.008
429,0.895,0.873,0.038381,0.006
430,0.8924,0.868,0.038544,0.008
431,0.8938,0.875,0.038346,0.007
432,0.8915,0.867,0.038359,0.009
433,0.8943,0.871,0.038179,0.008
434,0.8924,0.872,0.038429,0.01
435,0.8951,0.875,0.038014,0.006
436,0.8916,0.876,0.038411,0.007
437,0.8954,0.873,0.03782,0.007
438,0.8965,0.875,0.037852,0.006
439,0.8966,0.873,0.037836,0.008
440,0.8944,0.874,0.037728,0.011
441,0.895,0.877,0.037743,0.006
442,0.8956,0.873,0.037624,0.006
443,0.8972,0.879,0.037611,0.007
444,0.8956,0.873,0.037752,0.008
445,0.8953,0.873,0.037455,0.007
446,0.8962,0.87,0.037493,0.007
447,0.8963,0.877,0.037501,0.005
448,0.8987,0.873,0.03717,0.006
449,0.8964,0.88,0.037246,0.008
450,0.8974,0.876,0.037165,0.006
451,0.8973,0.875,0.037054,0.006
452,0.8975,0.872,0.037084,0.007
453,0.8982,0.876,0.03694,0.008
454,0.898,0.875,0.036966,0.006
455,0.8983,0.876,0.036807,0.005
456,0.8992,0.87,0.036844,0.006
457,0.8984,0.87,0.036745,0.006
458,0.8984,0.877,0.036684,0.006
459,0.8959,0.873,0.03695,0.008
460,0.8986,0.873,0.036548,0.008
461,0.8978,0.874,0.036438,0.006
462,0.8985,0.871,0.036382,0.005
463,0.899,0.874,0.03627,0.006
464,0.8998,0.874,0.036246,0.007
465,0.8973,0.874,0.036281,0.005
466,0.8991,0.875,0.036139,0.006
467,0.8995,0.875,0.036093,0.007
468,0.8988,0.874,0.036246,0.007
469,0.8992,0.877,0.03599,0.007
470,0.9,0.875,0.036006,0.007
471,0.9009,0.875,0.035984,0.006
472,0.8995,0.877,0.035962,0.006
473,0.9012,0.877,0.035873,0.005
474,0.8996,0.877,0.035811,0.006
475,0.9009,0.874,0.035688,0.007
476,0.901,0.877,0.035838,0.008
477,0.9025,0.875,0.035607,0.006
478,0.9024,0.877,0.03552,0.007
479,0.9023,0.875,0.03551,0.008
480,0.9024,0.882,0.035534,0.006
481,0.901,0.872,0.035646,0.008
482,0.9026,0.879,0.03545,0.007
483,0.9024,0.877,0.035385,0.006
484,0.9032,0.881,0.03528,0.007
485,0.903,0.875,0.035389,0.005
486,0.9031,0.874,0.035216,0.007
487,0.9036,0.878,0.035089,0.006
488,0.9024,0.877,0.03505,0.009
489,0.902,0.878,0.03508,0.005
490,0.9032,0.877,0.034884,0.006
491,0.9033,0.877,0.034906,0.006
492,0.9027,0.88,0.034831,0.007
493,0.9027,0.879,0.034766,0.006
494,0.9024,0.882,0.034857,0.009
495,0.9027,0.882,0.034955,0.007
496,0.9029,0.882,0.034797,0.007
497,0.9046,0.879,0.034581,0.007
498,0.9038,0.879,0.034667,0.007
499,0.9022,0.885,0.035025,0.006
500,0.9036,0.88,0.03445,0.006
501,0.9054,0.883,0.034353,0.008
502,0.9003,0.885,0.035048,0.007
503,0.9057,0.884,0.03436,0.006
504,0.9051,0.88,0.034261,0.006
505,0.9054,0.882,0.034244,0.008
506,0.9062,0.884,0.034213,0.006
507,0.9035,0.881,0.034231,0.006
508,0.9053,0.881,0.034071,0.009
509,0.9047,0.878,0.034043,0.004
510,0.9043,0.886,0.034244,0.004
511,0.9053,0.88,0.0341,0.004
512,0.9049,0.884,0.033922,0.003
513,0.9042,0.886,0.033927,0.004
514,0.9048,0.888,0.03389,0.003
515,0.9048,0.885,0.033988,0.003
516,0.9055,0.881,0.033731,0.004
517,0.9052,0.885,0.033718,0.004
518,0.906,0.882,0.033608,0.004
