step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
81,2079,2160,0.0375,0.918,4.646596e+00,7.901210e-04,0.6731,3.7284,0,7,119,1879,99,100
82,2078,2160,0.037963,0.917,5.478106e+00,7.956283e-04,0.6412,3.6637,0,3,143,1878,99,100
83,2077,2160,0.038426,0.918,5.601379e+00,8.031279e-04,0.8062,3.6536,0,9,75,1877,99,100
84,2076,2160,0.038889,0.918,5.556144e+00,8.185015e-04,0.6871,3.7344,0,0,94,1876,99,100
85,2075,2160,0.039352,0.918,5.459846e+00,8.213246e-04,0.6969,3.6562,0,7,127,1875,99,100
86,2074,2160,0.039815,0.917,6.129098e+00,8.242105e-04,0.7055,3.716,0,7,5,1874,99,100
87,2073,2160,0.040278,0.917,6.728505e+00,8.360833e-04,0.6513,3.67,0,0,163,1873,99,100
88,2072,2160,0.040741,0.917,6.400748e+00,8.287358e-04,0.6715,3.7223,1,0,5,1873,98,100
89,2071,2160,0.041204,0.917,5.793246e+00,8.375590e-04,0.6428,3.6636,0,7,184,1872,98,100
90,2070,2160,0.041667,0.917,6.653325e+00,8.339152e-04,0.6598,3.7467,0,0,27,1871,98,100
91,2069,2160,0.04213,0.917,6.654323e+00,8.616558e-04,0.688,3.6752,0,2,195,1870,98,100
92,2068,2160,0.042593,0.917,7.086398e+00,8.571304e-04,0.6883,3.7578,0,6,53,1869,98,100
93,2067,2160,0.043056,0.917,6.461823e+00,8.859228e-04,0.6546,3.6639,2,5,0,1869,98,99
94,2066,2160,0.043519,0.917,6.048224e+00,9.026098e-04,0.7737,3.6628,0,1,191,1868,98,99
95,2065,2160,0.043981,0.917,6.402198e+00,9.278844e-04,0.6583,3.6973,0,8,146,1867,98,99
96,2064,2160,0.044444,0.917,6.972319e+00,9.720852e-04,0.6414,3.6535,0,2,32,1866,98,99
97,2063,2160,0.044907,0.917,7.688478e+00,9.823815e-04,0.6675,3.7415,0,9,154,1865,98,99
98,2062,2160,0.04537,0.917,7.603608e+00,9.785118e-04,0.6912,3.6933,0,6,74,1864,98,99
99,2061,2160,0.045833,0.917,7.024281e+00,9.777817e-04,0.6783,3.7387,0,3,27,1863,98,99
100,2060,2160,0.046296,0.917,7.550914e+00,9.855434e-04,0.6595,3.6599,0,6,33,1862,98,99
101,2059,2160,0.046759,0.917,7.145946e+00,1.047084e-03,0.6777,3.7474,0,5,83,1861,98,99
102,2058,2160,0.047222,0.917,9.654714e+00,1.040279e-03,0.685,3.6579,0,6,188,1860,98,99
103,2057,2160,0.047685,0.917,8.267054e+00,1.037707e-03,0.7274,3.7501,0,9,87,1859,98,99
104,2056,2160,0.048148,0.917,8.031540e+00,1.031957e-03,0.6851,3.6711,0,6,23,1858,98,99
105,2055,2160,0.048611,0.917,7.361522e+00,1.053644e-03,0.8145,3.6658,0,4,9,1857,98,99
