Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step   87 | acc=0.9170 | NZ=  2073 | sparsity=0.0403 | d_m=7.6573e-02
step   88 | acc=0.9170 | NZ=  2072 | sparsity=0.0407 | d_m=7.6137e-02
step   89 | acc=0.9170 | NZ=  2071 | sparsity=0.0412 | d_m=7.5698e-02
step   90 | acc=0.9170 | NZ=  2070 | sparsity=0.0417 | d_m=7.5260e-02
step   91 | acc=0.9170 | NZ=  2069 | sparsity=0.0421 | d_m=7.4813e-02
step   92 | acc=0.9170 | NZ=  2068 | sparsity=0.0426 | d_m=7.4364e-02
step   93 | acc=0.9170 | NZ=  2067 | sparsity=0.0431 | d_m=7.3925e-02
step   94 | acc=0.9170 | NZ=  2066 | sparsity=0.0435 | d_m=7.3503e-02
step   95 | acc=0.9170 | NZ=  2065 | sparsity=0.0440 | d_m=7.3063e-02
step   96 | acc=0.9170 | NZ=  2064 | sparsity=0.0444 | d_m=7.2620e-02
step   97 | acc=0.9170 | NZ=  2063 | sparsity=0.0449 | d_m=7.2201e-02
step   98 | acc=0.9170 | NZ=  2062 | sparsity=0.0454 | d_m=7.1788e-02
step   99 | acc=0.9170 | NZ=  2061 | sparsity=0.0458 | d_m=7.1347e-02
step  100 | acc=0.9170 | NZ=  2060 | sparsity=0.0463 | d_m=7.0896e-02
step  101 | acc=0.9170 | NZ=  2059 | sparsity=0.0468 | d_m=7.0480e-02
step  102 | acc=0.9170 | NZ=  2058 | sparsity=0.0472 | d_m=7.0058e-02
step  103 | acc=0.9170 | NZ=  2057 | sparsity=0.0477 | d_m=6.9633e-02
step  104 | acc=0.9170 | NZ=  2056 | sparsity=0.0481 | d_m=6.9228e-02
step  105 | acc=0.9170 | NZ=  2055 | sparsity=0.0486 | d_m=6.8830e-02
step  106 | acc=0.9170 | NZ=  2054 | sparsity=0.0491 | d_m=6.8433e-02
step  107 | acc=0.9170 | NZ=  2053 | sparsity=0.0495 | d_m=6.8037e-02
step  108 | acc=0.9170 | NZ=  2052 | sparsity=0.0500 | d_m=6.7639e-02
step  109 | acc=0.9170 | NZ=  2051 | sparsity=0.0505 | d_m=6.7249e-02
step  110 | acc=0.9170 | NZ=  2050 | sparsity=0.0509 | d_m=6.6870e-02
step  111 | acc=0.9170 | NZ=  2049 | sparsity=0.0514 | d_m=6.6496e-02
step  112 | acc=0.9170 | NZ=  2048 | sparsity=0.0519 | d_m=6.6115e-02
step  113 | acc=0.9170 | NZ=  2047 | sparsity=0.0523 | d_m=6.5750e-02
step  114 | acc=0.9170 | NZ=  2046 | sparsity=0.0528 | d_m=6.5379e-02
step  115 | acc=0.9170 | NZ=  2045 | sparsity=0.0532 | d_m=6.5018e-02
step  116 | acc=0.9170 | NZ=  2044 | sparsity=0.0537 | d_m=6.4654e-02
step  117 | acc=0.9170 | NZ=  2043 | sparsity=0.0542 | d_m=6.4295e-02
step  118 | acc=0.9170 | NZ=  2042 | sparsity=0.0546 | d_m=6.3949e-02
step  119 | acc=0.9170 | NZ=  2041 | sparsity=0.0551 | d_m=6.3604e-02
step  120 | acc=0.9170 | NZ=  2040 | sparsity=0.0556 | d_m=6.3258e-02
step  121 | acc=0.9170 | NZ=  2039 | sparsity=0.0560 | d_m=6.2913e-02
step  122 | acc=0.9170 | NZ=  2038 | sparsity=0.0565 | d_m=6.2563e-02
step  123 | acc=0.9170 | NZ=  2037 | sparsity=0.0569 | d_m=6.2208e-02
step  124 | acc=0.9170 | NZ=  2036 | sparsity=0.0574 | d_m=6.1856e-02
step  125 | acc=0.9170 | NZ=  2035 | sparsity=0.0579 | d_m=6.1515e-02
step  126 | acc=0.9170 | NZ=  2034 | sparsity=0.0583 | d_m=6.1176e-02
step  127 | acc=0.9170 | NZ=  2033 | sparsity=0.0588 | d_m=6.0834e-02
step  128 | acc=0.9170 | NZ=  2032 | sparsity=0.0593 | d_m=6.0497e-02
step  129 | acc=0.9170 | NZ=  2031 | sparsity=0.0597 | d_m=6.0167e-02
step  130 | acc=0.9170 | NZ=  2030 | sparsity=0.0602 | d_m=5.9854e-02
step  131 | acc=0.9170 | NZ=  2029 | sparsity=0.0606 | d_m=5.9521e-02
step  132 | acc=0.9170 | NZ=  2028 | sparsity=0.0611 | d_m=5.9204e-02
step  133 | acc=0.9170 | NZ=  2027 | sparsity=0.0616 | d_m=5.8887e-02
step  134 | acc=0.9170 | NZ=  2026 | sparsity=0.0620 | d_m=5.8564e-02
step  135 | acc=0.9170 | NZ=  2025 | sparsity=0.0625 | d_m=5.8237e-02
step  136 | acc=0.9170 | NZ=  2024 | sparsity=0.0630 | d_m=5.7930e-02
step  137 | acc=0.9170 | NZ=  2023 | sparsity=0.0634 | d_m=5.7608e-02
step  138 | acc=0.9170 | NZ=  2022 | sparsity=0.0639 | d_m=5.7299e-02
step  139 | acc=0.9170 | NZ=  2021 | sparsity=0.0644 | d_m=5.6985e-02
step  140 | acc=0.9170 | NZ=  2020 | sparsity=0.0648 | d_m=5.6685e-02
step  141 | acc=0.9170 | NZ=  2019 | sparsity=0.0653 | d_m=5.6384e-02
step  142 | acc=0.9170 | NZ=  2018 | sparsity=0.0657 | d_m=5.6078e-02
step  143 | acc=0.9170 | NZ=  2017 | sparsity=0.0662 | d_m=5.5779e-02
step  144 | acc=0.9170 | NZ=  2016 | sparsity=0.0667 | d_m=5.5477e-02
step  145 | acc=0.9170 | NZ=  2015 | sparsity=0.0671 | d_m=5.5183e-02
step  146 | acc=0.9170 | NZ=  2014 | sparsity=0.0676 | d_m=5.4886e-02
step  147 | acc=0.9170 | NZ=  2013 | sparsity=0.0681 | d_m=5.4605e-02
step  148 | acc=0.9170 | NZ=  2012 | sparsity=0.0685 | d_m=5.4316e-02
step  149 | acc=0.9170 | NZ=  2011 | sparsity=0.0690 | d_m=5.4042e-02
step  150 | acc=0.9170 | NZ=  2010 | sparsity=0.0694 | d_m=5.3763e-02
step  151 | acc=0.9170 | NZ=  2009 | sparsity=0.0699 | d_m=5.3488e-02
step  152 | acc=0.9170 | NZ=  2008 | sparsity=0.0704 | d_m=5.3221e-02
step  153 | acc=0.9170 | NZ=  2007 | sparsity=0.0708 | d_m=5.2965e-02
step  154 | acc=0.9170 | NZ=  2006 | sparsity=0.0713 | d_m=5.2699e-02
step  155 | acc=0.9170 | NZ=  2005 | sparsity=0.0718 | d_m=5.2446e-02
step  156 | acc=0.9170 | NZ=  2004 | sparsity=0.0722 | d_m=5.2187e-02
step  157 | acc=0.9170 | NZ=  2003 | sparsity=0.0727 | d_m=5.1936e-02
step  158 | acc=0.9170 | NZ=  2002 | sparsity=0.0731 | d_m=5.1677e-02
step  159 | acc=0.9170 | NZ=  2001 | sparsity=0.0736 | d_m=5.1433e-02
step  160 | acc=0.9170 | NZ=  2000 | sparsity=0.0741 | d_m=5.1197e-02
step  161 | acc=0.9170 | NZ=  1999 | sparsity=0.0745 | d_m=5.0949e-02
step  162 | acc=0.9170 | NZ=  1998 | sparsity=0.0750 | d_m=5.0695e-02
step  163 | acc=0.9170 | NZ=  1997 | sparsity=0.0755 | d_m=5.0454e-02
step  164 | acc=0.9170 | NZ=  1996 | sparsity=0.0759 | d_m=5.0217e-02
step  165 | acc=0.9170 | NZ=  1995 | sparsity=0.0764 | d_m=4.9985e-02
step  166 | acc=0.9170 | NZ=  1994 | sparsity=0.0769 | d_m=4.9759e-02
step  167 | acc=0.9170 | NZ=  1993 | sparsity=0.0773 | d_m=4.9523e-02
step  168 | acc=0.9170 | NZ=  1992 | sparsity=0.0778 | d_m=4.9282e-02
step  169 | acc=0.9170 | NZ=  1991 | sparsity=0.0782 | d_m=4.9047e-02
step  170 | acc=0.9170 | NZ=  1990 | sparsity=0.0787 | d_m=4.8810e-02
step  171 | acc=0.9170 | NZ=  1989 | sparsity=0.0792 | d_m=4.8578e-02
step  172 | acc=0.9170 | NZ=  1988 | sparsity=0.0796 | d_m=4.8356e-02
step  173 | acc=0.9170 | NZ=  1987 | sparsity=0.0801 | d_m=4.8125e-02
step  174 | acc=0.9170 | NZ=  1986 | sparsity=0.0806 | d_m=4.7904e-02
step  175 | acc=0.9170 | NZ=  1985 | sparsity=0.0810 | d_m=4.7685e-02
step  176 | acc=0.9170 | NZ=  1984 | sparsity=0.0815 | d_m=4.7468e-02
step  177 | acc=0.9170 | NZ=  1983 | sparsity=0.0819 | d_m=4.7251e-02
step  178 | acc=0.9170 | NZ=  1982 | sparsity=0.0824 | d_m=4.7033e-02
step  179 | acc=0.9170 | NZ=  1981 | sparsity=0.0829 | d_m=4.6816e-02
step  180 | acc=0.9170 | NZ=  1980 | sparsity=0.0833 | d_m=4.6597e-02
step  181 | acc=0.9170 | NZ=  1979 | sparsity=0.0838 | d_m=4.6393e-02
step  182 | acc=0.9170 | NZ=  1978 | sparsity=0.0843 | d_m=4.6194e-02
step  183 | acc=0.9170 | NZ=  1977 | sparsity=0.0847 | d_m=4.5986e-02
step  184 | acc=0.9170 | NZ=  1976 | sparsity=0.0852 | d_m=4.5786e-02
step  185 | acc=0.9170 | NZ=  1975 | sparsity=0.0856 | d_m=4.5589e-02
step  186 | acc=0.9170 | NZ=  1974 | sparsity=0.0861 | d_m=4.5396e-02
step  187 | acc=0.9170 | NZ=  1973 | sparsity=0.0866 | d_m=4.5200e-02
step  188 | acc=0.9170 | NZ=  1972 | sparsity=0.0870 | d_m=4.5012e-02
step  189 | acc=0.9170 | NZ=  1971 | sparsity=0.0875 | d_m=4.4824e-02
step  190 | acc=0.9170 | NZ=  1970 | sparsity=0.0880 | d_m=4.4636e-02
step  191 | acc=0.9170 | NZ=  1969 | sparsity=0.0884 | d_m=4.4441e-02
step  192 | acc=0.9170 | NZ=  1968 | sparsity=0.0889 | d_m=4.4257e-02
step  193 | acc=0.9170 | NZ=  1967 | sparsity=0.0894 | d_m=4.4070e-02
step  194 | acc=0.9170 | NZ=  1966 | sparsity=0.0898 | d_m=4.3886e-02
step  195 | acc=0.9170 | NZ=  1965 | sparsity=0.0903 | d_m=4.3700e-02
step  196 | acc=0.9170 | NZ=  1964 | sparsity=0.0907 | d_m=4.3515e-02
step  197 | acc=0.9170 | NZ=  1963 | sparsity=0.0912 | d_m=4.3338e-02
step  198 | acc=0.9170 | NZ=  1962 | sparsity=0.0917 | d_m=4.3162e-02
step  199 | acc=0.9170 | NZ=  1961 | sparsity=0.0921 | d_m=4.2990e-02
