Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e16_kwon_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7101e+00
Starting Kwon sparsification loop
step  265 | acc=0.9130 | NZ=  1895 | sparsity=0.1227 | d_m=4.2283e+03
step  266 | acc=0.9130 | NZ=  1894 | sparsity=0.1231 | d_m=3.9716e+03
step  267 | acc=0.9120 | NZ=  1893 | sparsity=0.1236 | d_m=3.8445e+03
step  268 | acc=0.9120 | NZ=  1892 | sparsity=0.1241 | d_m=3.7004e+03
step  269 | acc=0.9110 | NZ=  1891 | sparsity=0.1245 | d_m=3.6031e+03
step  270 | acc=0.9110 | NZ=  1890 | sparsity=0.1250 | d_m=3.5509e+03
step  271 | acc=0.9140 | NZ=  1889 | sparsity=0.1255 | d_m=3.7948e+03
step  272 | acc=0.9130 | NZ=  1888 | sparsity=0.1259 | d_m=3.6477e+03
step  273 | acc=0.9120 | NZ=  1887 | sparsity=0.1264 | d_m=3.5621e+03
step  274 | acc=0.9140 | NZ=  1886 | sparsity=0.1269 | d_m=3.5137e+03
step  275 | acc=0.9140 | NZ=  1885 | sparsity=0.1273 | d_m=3.4626e+03
step  276 | acc=0.9110 | NZ=  1884 | sparsity=0.1278 | d_m=3.6708e+03
step  277 | acc=0.9110 | NZ=  1883 | sparsity=0.1282 | d_m=3.5605e+03
step  278 | acc=0.9120 | NZ=  1882 | sparsity=0.1287 | d_m=3.5342e+03
step  279 | acc=0.9080 | NZ=  1881 | sparsity=0.1292 | d_m=3.9983e+03
step  280 | acc=0.9090 | NZ=  1880 | sparsity=0.1296 | d_m=3.7732e+03
step  281 | acc=0.9090 | NZ=  1879 | sparsity=0.1301 | d_m=3.7054e+03
step  282 | acc=0.9100 | NZ=  1878 | sparsity=0.1306 | d_m=3.6889e+03
step  283 | acc=0.9110 | NZ=  1877 | sparsity=0.1310 | d_m=3.7349e+03
step  284 | acc=0.9090 | NZ=  1876 | sparsity=0.1315 | d_m=3.6693e+03
step  285 | acc=0.9090 | NZ=  1875 | sparsity=0.1319 | d_m=3.6042e+03
step  286 | acc=0.9100 | NZ=  1874 | sparsity=0.1324 | d_m=3.5529e+03
step  287 | acc=0.9090 | NZ=  1873 | sparsity=0.1329 | d_m=3.6717e+03
step  288 | acc=0.9090 | NZ=  1872 | sparsity=0.1333 | d_m=3.6104e+03
step  289 | acc=0.9090 | NZ=  1871 | sparsity=0.1338 | d_m=3.5510e+03
step  290 | acc=0.9090 | NZ=  1870 | sparsity=0.1343 | d_m=3.5075e+03
step  291 | acc=0.9090 | NZ=  1869 | sparsity=0.1347 | d_m=3.7253e+03
step  292 | acc=0.9100 | NZ=  1868 | sparsity=0.1352 | d_m=3.6165e+03
step  293 | acc=0.9090 | NZ=  1867 | sparsity=0.1356 | d_m=3.5803e+03
step  294 | acc=0.9090 | NZ=  1866 | sparsity=0.1361 | d_m=3.5257e+03
step  295 | acc=0.9100 | NZ=  1865 | sparsity=0.1366 | d_m=3.5035e+03
