Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e15_magnitude_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.0889e+00
Starting magnitude sparsification loop
step  170 | acc=0.9170 | NZ=  1990 | sparsity=0.0787 | d_m=3.8453e+01
step  171 | acc=0.9170 | NZ=  1989 | sparsity=0.0792 | d_m=3.7636e+01
step  172 | acc=0.9170 | NZ=  1988 | sparsity=0.0796 | d_m=3.7225e+01
step  173 | acc=0.9170 | NZ=  1987 | sparsity=0.0801 | d_m=3.6528e+01
step  174 | acc=0.9170 | NZ=  1986 | sparsity=0.0806 | d_m=3.6808e+01
step  175 | acc=0.9170 | NZ=  1985 | sparsity=0.0810 | d_m=3.6930e+01
step  176 | acc=0.9170 | NZ=  1984 | sparsity=0.0815 | d_m=3.9134e+01
step  177 | acc=0.9170 | NZ=  1983 | sparsity=0.0819 | d_m=3.7312e+01
step  178 | acc=0.9170 | NZ=  1982 | sparsity=0.0824 | d_m=3.7876e+01
step  179 | acc=0.9170 | NZ=  1981 | sparsity=0.0829 | d_m=3.8420e+01
step  180 | acc=0.9170 | NZ=  1980 | sparsity=0.0833 | d_m=3.9600e+01
step  181 | acc=0.9170 | NZ=  1979 | sparsity=0.0838 | d_m=3.7752e+01
step  182 | acc=0.9170 | NZ=  1978 | sparsity=0.0843 | d_m=4.2635e+01
step  183 | acc=0.9170 | NZ=  1977 | sparsity=0.0847 | d_m=4.3548e+01
step  184 | acc=0.9170 | NZ=  1976 | sparsity=0.0852 | d_m=4.1093e+01
step  185 | acc=0.9170 | NZ=  1975 | sparsity=0.0856 | d_m=4.4261e+01
step  186 | acc=0.9170 | NZ=  1974 | sparsity=0.0861 | d_m=4.3867e+01
step  187 | acc=0.9170 | NZ=  1973 | sparsity=0.0866 | d_m=4.6000e+01
step  188 | acc=0.9170 | NZ=  1972 | sparsity=0.0870 | d_m=4.6538e+01
step  189 | acc=0.9170 | NZ=  1971 | sparsity=0.0875 | d_m=4.5293e+01
step  190 | acc=0.9170 | NZ=  1970 | sparsity=0.0880 | d_m=4.3611e+01
step  191 | acc=0.9170 | NZ=  1969 | sparsity=0.0884 | d_m=4.6733e+01
step  192 | acc=0.9170 | NZ=  1968 | sparsity=0.0889 | d_m=4.8459e+01
step  193 | acc=0.9170 | NZ=  1967 | sparsity=0.0894 | d_m=5.3525e+01
step  194 | acc=0.9170 | NZ=  1966 | sparsity=0.0898 | d_m=6.1431e+01
step  195 | acc=0.9170 | NZ=  1965 | sparsity=0.0903 | d_m=5.7072e+01
step  196 | acc=0.9170 | NZ=  1964 | sparsity=0.0907 | d_m=5.5046e+01
step  197 | acc=0.9170 | NZ=  1963 | sparsity=0.0912 | d_m=5.4198e+01
step  198 | acc=0.9170 | NZ=  1962 | sparsity=0.0917 | d_m=5.1612e+01
step  199 | acc=0.9170 | NZ=  1961 | sparsity=0.0921 | d_m=5.8279e+01
step  200 | acc=0.9170 | NZ=  1960 | sparsity=0.0926 | d_m=6.3662e+01
step  201 | acc=0.9170 | NZ=  1959 | sparsity=0.0931 | d_m=6.1107e+01
step  202 | acc=0.9170 | NZ=  1958 | sparsity=0.0935 | d_m=5.9223e+01
step  203 | acc=0.9170 | NZ=  1957 | sparsity=0.0940 | d_m=6.1850e+01
step  204 | acc=0.9170 | NZ=  1956 | sparsity=0.0944 | d_m=6.2001e+01
step  205 | acc=0.9170 | NZ=  1955 | sparsity=0.0949 | d_m=6.1869e+01
