step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
82,2078,2160,0.037963,0.917,0.000000e+00,5.844791e-03,2.5826,0,6,106,1885,95,97
83,2077,2160,0.038426,0.917,0.000000e+00,5.886506e-03,2.5843,2,3,0,1885,95,96
84,2076,2160,0.038889,0.917,0.000000e+00,5.939323e-03,2.6096,0,6,177,1884,95,96
85,2075,2160,0.039352,0.917,0.000000e+00,6.134243e-03,2.5889,0,6,31,1883,95,96
86,2074,2160,0.039815,0.917,0.000000e+00,6.187781e-03,2.5872,0,6,160,1882,95,96
87,2073,2160,0.040278,0.917,0.000000e+00,6.198060e-03,2.5645,0,6,119,1881,95,96
88,2072,2160,0.040741,0.917,0.000000e+00,6.298928e-03,2.5911,0,6,130,1880,95,96
89,2071,2160,0.041204,0.917,0.000000e+00,6.327346e-03,2.594,1,4,6,1880,94,96
90,2070,2160,0.041667,0.917,0.000000e+00,6.340904e-03,2.5708,0,6,60,1879,94,96
91,2069,2160,0.04213,0.917,0.000000e+00,6.372768e-03,2.5855,0,6,157,1878,94,96
92,2068,2160,0.042593,0.917,0.000000e+00,6.424742e-03,2.5632,0,6,131,1877,94,96
93,2067,2160,0.043056,0.917,0.000000e+00,6.430098e-03,2.6033,0,6,146,1876,94,96
94,2066,2160,0.043519,0.917,0.000000e+00,6.461619e-03,2.5588,0,6,56,1875,94,96
95,2065,2160,0.043981,0.917,0.000000e+00,6.569455e-03,2.5912,0,6,70,1874,94,96
96,2064,2160,0.044444,0.917,0.000000e+00,6.611300e-03,2.5768,0,6,110,1873,94,96
97,2063,2160,0.044907,0.917,0.000000e+00,6.619408e-03,2.638,0,6,14,1872,94,96
98,2062,2160,0.04537,0.917,0.000000e+00,6.728343e-03,2.5885,0,6,123,1871,94,96
99,2061,2160,0.045833,0.917,0.000000e+00,6.807106e-03,2.6296,0,6,112,1870,94,96
100,2060,2160,0.046296,0.917,0.000000e+00,6.832110e-03,2.5958,0,6,80,1869,94,96
101,2059,2160,0.046759,0.917,0.000000e+00,6.894391e-03,2.5907,0,6,65,1868,94,96
102,2058,2160,0.047222,0.917,0.000000e+00,6.895029e-03,2.5627,0,6,61,1867,94,96
103,2057,2160,0.047685,0.917,0.000000e+00,7.018507e-03,2.6375,0,6,186,1866,94,96
104,2056,2160,0.048148,0.917,0.000000e+00,7.025445e-03,2.5871,0,6,30,1865,94,96
105,2055,2160,0.048611,0.917,0.000000e+00,7.148751e-03,2.5906,0,6,150,1864,94,96
106,2054,2160,0.049074,0.917,0.000000e+00,7.154397e-03,2.5747,0,6,193,1863,94,96
107,2053,2160,0.049537,0.917,0.000000e+00,7.273654e-03,2.5724,0,6,50,1862,94,96
108,2052,2160,0.05,0.917,0.000000e+00,7.285997e-03,2.5835,0,6,88,1861,94,96
109,2051,2160,0.050463,0.917,0.000000e+00,7.465823e-03,2.61,0,6,41,1860,94,96
110,2050,2160,0.050926,0.917,0.000000e+00,7.540648e-03,2.589,0,6,7,1859,94,96
111,2049,2160,0.051389,0.917,0.000000e+00,7.583330e-03,2.5857,0,6,26,1858,94,96
112,2048,2160,0.051852,0.917,0.000000e+00,7.643526e-03,2.5784,1,0,8,1858,93,96
113,2047,2160,0.052315,0.917,0.000000e+00,7.676195e-03,2.5524,0,6,91,1857,93,96
114,2046,2160,0.052778,0.917,0.000000e+00,7.702104e-03,2.5819,1,0,1,1857,92,96
115,2045,2160,0.053241,0.917,0.000000e+00,7.726777e-03,2.5832,0,6,10,1856,92,96
116,2044,2160,0.053704,0.917,0.000000e+00,7.763804e-03,2.5999,0,6,163,1855,92,96
117,2043,2160,0.054167,0.917,0.000000e+00,7.796101e-03,2.5824,0,6,17,1854,92,96
118,2042,2160,0.05463,0.917,0.000000e+00,7.798279e-03,2.6007,0,6,152,1853,92,96
119,2041,2160,0.055093,0.917,0.000000e+00,7.818899e-03,2.5891,0,6,164,1852,92,96
120,2040,2160,0.055556,0.917,0.000000e+00,7.859657e-03,2.64,0,6,77,1851,92,96
121,2039,2160,0.056019,0.917,0.000000e+00,8.045632e-03,2.5871,0,6,64,1850,92,96
122,2038,2160,0.056481,0.917,0.000000e+00,8.095028e-03,2.5843,0,6,143,1849,92,96
123,2037,2160,0.056944,0.917,0.000000e+00,8.131019e-03,2.6337,0,6,48,1848,92,96
124,2036,2160,0.057407,0.917,0.000000e+00,8.179034e-03,2.611,0,6,149,1847,92,96
125,2035,2160,0.05787,0.917,0.000000e+00,8.214979e-03,2.5647,0,6,83,1846,92,96
126,2034,2160,0.058333,0.917,0.000000e+00,8.315158e-03,2.5599,0,6,144,1845,92,96
127,2033,2160,0.058796,0.917,0.000000e+00,8.906665e-03,2.5783,0,6,85,1844,92,96
128,2032,2160,0.059259,0.917,0.000000e+00,8.987253e-03,2.6486,0,6,90,1843,92,96
129,2031,2160,0.059722,0.917,0.000000e+00,9.236403e-03,2.5913,0,6,183,1842,92,96
130,2030,2160,0.060185,0.917,0.000000e+00,9.309210e-03,2.5877,0,6,71,1841,92,96
131,2029,2160,0.060648,0.917,0.000000e+00,9.406386e-03,2.6279,0,6,135,1840,92,96
132,2028,2160,0.061111,0.917,0.000000e+00,9.526075e-03,2.5609,0,6,117,1839,92,96
133,2027,2160,0.061574,0.917,0.000000e+00,9.586588e-03,2.5895,0,6,103,1838,92,96
134,2026,2160,0.062037,0.917,0.000000e+00,9.631104e-03,2.723,0,6,54,1837,92,96
135,2025,2160,0.0625,0.917,0.000000e+00,9.800349e-03,2.5867,0,6,13,1836,92,96
136,2024,2160,0.062963,0.917,0.000000e+00,9.895488e-03,2.5634,0,6,182,1835,92,96
137,2023,2160,0.063426,0.917,0.000000e+00,9.950364e-03,2.5978,0,6,155,1834,92,96
138,2022,2160,0.063889,0.917,0.000000e+00,9.970072e-03,2.5895,0,6,109,1833,92,96
139,2021,2160,0.064352,0.917,3.140235e-04,9.973673e-03,2.5813,1,0,6,1833,91,96
140,2020,2160,0.064815,0.917,3.140235e-04,1.016854e-02,2.5874,0,6,79,1832,91,96
141,2019,2160,0.065278,0.916,3.140254e-04,1.023075e-02,2.6687,0,6,46,1831,91,96
142,2018,2160,0.065741,0.916,3.140399e-04,1.026092e-02,2.581,0,6,176,1830,91,96
143,2017,2160,0.066204,0.916,3.140775e-04,1.032774e-02,2.5931,0,6,35,1829,91,96
144,2016,2160,0.066667,0.916,3.142129e-04,1.037800e-02,2.6065,0,6,86,1828,91,96
145,2015,2160,0.06713,0.916,3.144776e-04,1.033061e-02,2.5695,0,6,142,1827,91,96
146,2014,2160,0.067593,0.916,3.145517e-04,1.049970e-02,2.589,1,0,9,1827,90,96
147,2013,2160,0.068056,0.916,3.145517e-04,1.050609e-02,2.6317,0,6,141,1826,90,96
148,2012,2160,0.068519,0.916,3.146136e-04,1.063781e-02,2.5943,0,6,185,1825,90,96
149,2011,2160,0.068981,0.916,3.143937e-04,1.066930e-02,2.6125,0,6,102,1824,90,96
150,2010,2160,0.069444,0.916,3.143541e-04,1.069834e-02,2.5887,0,6,101,1823,90,96
151,2009,2160,0.069907,0.916,2.896844e-03,1.082802e-02,2.5811,1,0,4,1823,89,96
152,2008,2160,0.07037,0.916,2.896844e-03,1.097115e-02,2.5691,0,6,195,1822,89,96
153,2007,2160,0.070833,0.916,3.037012e-03,1.190943e-02,2.5944,0,6,147,1821,89,96
154,2006,2160,0.071296,0.917,3.036161e-03,1.042346e-02,2.5688,0,6,25,1820,89,96
155,2005,2160,0.071759,0.917,3.035823e-03,1.089815e-02,2.5747,0,6,124,1819,89,96
156,2004,2160,0.072222,0.917,3.684329e-03,1.330471e-02,2.5833,0,6,167,1818,89,96
157,2003,2160,0.072685,0.917,3.684643e-03,1.235214e-02,2.5816,0,6,107,1817,89,96
158,2002,2160,0.073148,0.917,3.685459e-03,1.093774e-02,2.6082,0,6,58,1816,89,96
159,2001,2160,0.073611,0.917,3.934029e-03,1.138710e-02,2.5618,0,6,178,1815,89,96
160,2000,2160,0.074074,0.916,3.934207e-03,1.155387e-02,2.5895,0,6,12,1814,89,96
161,1999,2160,0.074537,0.917,3.934488e-03,1.193878e-02,2.5835,0,6,16,1813,89,96
162,1998,2160,0.075,0.917,3.933976e-03,1.158697e-02,2.6118,2,7,0,1813,89,95
163,1997,2160,0.075463,0.917,3.933976e-03,1.266971e-02,2.6336,0,6,175,1812,89,95
164,1996,2160,0.075926,0.917,3.933496e-03,1.161536e-02,2.5786,0,6,174,1811,89,95
165,1995,2160,0.076389,0.917,3.933637e-03,1.127862e-02,2.6245,0,6,168,1810,89,95
166,1994,2160,0.076852,0.917,3.934097e-03,1.158935e-02,2.5912,0,6,92,1809,89,95
167,1993,2160,0.077315,0.917,3.934504e-03,1.196108e-02,2.5902,0,6,44,1808,89,95
168,1992,2160,0.077778,0.917,3.934328e-03,1.206145e-02,2.5659,0,6,68,1807,89,95
169,1991,2160,0.078241,0.917,3.934088e-03,1.153818e-02,2.5704,0,6,1,1806,89,95
170,1990,2160,0.078704,0.917,4.026367e-03,1.252623e-02,2.5967,0,6,55,1805,89,95
171,1989,2160,0.079167,0.917,4.060437e-03,1.256231e-02,2.597,1,0,2,1805,88,95
172,1988,2160,0.07963,0.917,4.060437e-03,1.296852e-02,2.5901,2,1,0,1805,88,94
173,1987,2160,0.080093,0.917,4.060437e-03,1.413483e-02,2.577,0,6,63,1804,88,94
174,1986,2160,0.080556,0.917,4.096274e-03,1.562212e-02,2.5827,0,6,5,1803,88,94
175,1985,2160,0.081019,0.917,5.129437e-03,1.545434e-02,2.595,0,6,122,1802,88,94
176,1984,2160,0.081481,0.917,5.149429e-03,1.362161e-02,2.6337,0,6,52,1801,88,94
177,1983,2160,0.081944,0.917,5.149629e-03,1.394586e-02,2.5956,0,6,121,1800,88,94
178,1982,2160,0.082407,0.917,5.149847e-03,1.303313e-02,2.5934,0,6,100,1799,88,94
179,1981,2160,0.08287,0.917,5.149888e-03,1.578252e-02,2.5955,0,6,125,1798,88,94
180,1980,2160,0.083333,0.917,5.977403e-03,1.547141e-02,2.6341,0,6,45,1797,88,94
181,1979,2160,0.083796,0.917,6.062218e-03,1.452795e-02,2.5811,0,6,169,1796,88,94
182,1978,2160,0.084259,0.917,6.958532e-03,1.424245e-02,2.6026,0,6,73,1795,88,94
183,1977,2160,0.084722,0.917,7.399608e-03,1.361023e-02,2.6215,2,2,0,1795,88,93
184,1976,2160,0.085185,0.917,7.399608e-03,1.457766e-02,2.6377,2,0,0,1795,88,92
185,1975,2160,0.085648,0.917,7.399608e-03,1.817250e-02,2.613,0,6,66,1794,88,92
186,1974,2160,0.086111,0.917,9.538742e-03,1.851887e-02,2.6478,2,9,0,1794,88,91
187,1973,2160,0.086574,0.917,9.538742e-03,2.006271e-02,2.6187,2,4,0,1794,88,90
188,1972,2160,0.087037,0.917,9.538742e-03,2.361620e-02,2.5997,0,6,47,1793,88,90
189,1971,2160,0.0875,0.917,1.338994e-02,2.457373e-04,2.635,0,8,7,1792,88,90
190,1970,2160,0.087963,0.917,1.339178e-02,7.102988e-03,2.6499,0,1,175,1791,88,90
191,1969,2160,0.088426,0.917,1.351039e-02,1.808478e-02,2.6264,1,2,6,1791,87,90
192,1968,2160,0.088889,0.917,1.352032e-02,9.685322e-03,2.5984,0,5,156,1790,87,90
193,1967,2160,0.089352,0.917,2.340401e-02,4.688373e-03,2.6246,1,4,3,1790,86,90
194,1966,2160,0.089815,0.917,2.337062e-02,1.839737e-02,2.6446,1,9,6,1790,85,90
195,1965,2160,0.090278,0.917,2.336595e-02,7.016316e-03,2.5882,0,3,55,1789,85,90
196,1964,2160,0.090741,0.917,2.337403e-02,1.304034e-02,2.6316,0,2,14,1788,85,90
197,1963,2160,0.091204,0.917,2.340877e-02,1.636604e-03,2.5865,2,6,2,1788,85,89
198,1962,2160,0.091667,0.917,2.339634e-02,9.357429e-03,2.6169,2,4,9,1788,85,88
199,1961,2160,0.09213,0.917,2.334918e-02,8.679962e-04,2.6234,0,2,25,1787,85,88
200,1960,2160,0.092593,0.917,2.337211e-02,2.823720e-03,2.6059,0,9,30,1786,85,88
201,1959,2160,0.093056,0.917,2.342130e-02,6.042973e-03,2.6199,0,3,138,1785,85,88
202,1958,2160,0.093519,0.917,2.345559e-02,3.008616e-02,2.574,0,2,169,1784,85,88
203,1957,2160,0.093981,0.917,2.507256e-02,5.653421e-04,2.577,2,1,8,1784,85,87
204,1956,2160,0.094444,0.917,2.506367e-02,4.205744e-02,2.575,0,6,69,1783,85,87
205,1955,2160,0.094907,0.917,2.596437e-02,5.378394e-03,2.5817,1,2,1,1783,84,87
206,1954,2160,0.09537,0.917,2.596340e-02,8.996129e-03,2.5723,0,6,19,1782,84,87
207,1953,2160,0.095833,0.917,2.602334e-02,1.056975e-02,2.5873,0,1,4,1781,84,87
208,1952,2160,0.096296,0.917,2.619274e-02,1.059819e-02,2.5817,0,2,119,1780,84,87
209,1951,2160,0.096759,0.917,2.616215e-02,3.420641e-03,2.6206,1,1,5,1780,83,87
210,1950,2160,0.097222,0.917,2.626320e-02,7.995198e-03,2.573,0,9,42,1779,83,87
211,1949,2160,0.097685,0.917,2.650453e-02,1.444852e-02,2.608,2,0,5,1779,83,86
212,1948,2160,0.098148,0.917,2.662422e-02,3.119126e-03,2.6004,0,9,40,1778,83,86
213,1947,2160,0.098611,0.917,2.683526e-02,5.333519e-02,2.5959,2,1,7,1778,83,85
214,1946,2160,0.099074,0.917,2.720523e-02,2.496386e-02,2.574,1,1,6,1778,82,85
215,1945,2160,0.099537,0.917,2.737871e-02,1.956570e-03,2.588,1,7,6,1778,81,85
216,1944,2160,0.1,0.917,2.737463e-02,1.604664e-02,2.5994,2,8,1,1778,81,84
217,1943,2160,0.100463,0.916,2.726888e-02,3.972342e-03,2.6205,0,3,10,1777,81,84
218,1942,2160,0.100926,0.916,2.758331e-02,2.023244e-02,2.5815,2,7,4,1777,81,83
219,1941,2160,0.101389,0.916,2.911483e-02,2.503525e-02,2.5905,0,9,4,1776,81,83
220,1940,2160,0.101852,0.917,8.140889e-02,2.825177e-03,2.656,0,9,184,1775,81,83
221,1939,2160,0.102315,0.917,8.130334e-02,3.870097e-03,2.5852,0,3,191,1774,81,83
222,1938,2160,0.102778,0.917,8.179813e-02,1.238608e-02,2.6287,0,3,170,1773,81,83
223,1937,2160,0.103241,0.917,8.443603e-02,3.184810e-03,2.5839,0,3,123,1772,81,83
224,1936,2160,0.103704,0.917,8.433554e-02,3.092336e-02,2.5852,2,6,6,1772,81,82
225,1935,2160,0.104167,0.917,8.510769e-02,3.967605e-03,2.584,2,2,2,1772,81,81
226,1934,2160,0.10463,0.917,8.674503e-02,8.953677e-04,2.5709,0,8,25,1771,81,81
227,1933,2160,0.105093,0.917,8.720843e-02,2.684411e-02,2.5724,0,6,49,1770,81,81
228,1932,2160,0.105556,0.917,9.119381e-02,2.202584e-03,2.5994,0,6,96,1769,81,81
229,1931,2160,0.106019,0.917,9.134588e-02,2.740845e-04,2.5798,0,0,153,1768,81,81
230,1930,2160,0.106481,0.917,9.195285e-02,8.740062e-03,2.6415,0,1,21,1767,81,81
231,1929,2160,0.106944,0.917,9.188401e-02,4.827546e-03,2.591,0,4,73,1766,81,81
232,1928,2160,0.107407,0.917,9.148178e-02,3.412768e-03,2.5747,0,6,154,1765,81,81
233,1927,2160,0.10787,0.917,9.176026e-02,3.345291e-03,2.5951,0,6,99,1764,81,81
234,1926,2160,0.108333,0.917,9.188494e-02,2.546617e-03,2.6198,0,6,179,1763,81,81
235,1925,2160,0.108796,0.917,9.209028e-02,2.766207e-03,2.5929,0,8,88,1762,81,81
236,1924,2160,0.109259,0.917,9.388126e-02,3.806717e-03,2.5858,0,6,76,1761,81,81
237,1923,2160,0.109722,0.917,9.402989e-02,1.659787e-03,2.5749,0,9,54,1760,81,81
238,1922,2160,0.110185,0.917,9.494455e-02,1.610555e-03,2.5939,0,9,73,1759,81,81
239,1921,2160,0.110648,0.917,9.478206e-02,1.558471e-03,2.6021,0,9,75,1758,81,81
240,1920,2160,0.111111,0.917,9.508886e-02,2.702798e-03,2.6164,0,6,32,1757,81,81
241,1919,2160,0.111574,0.917,9.529534e-02,1.359249e-03,2.5772,0,9,87,1756,81,81
242,1918,2160,0.112037,0.917,9.606525e-02,3.102975e-03,2.5781,0,6,95,1755,81,81
243,1917,2160,0.1125,0.917,9.627253e-02,4.237854e-03,2.6214,0,9,104,1754,81,81
244,1916,2160,0.112963,0.917,9.554481e-02,3.212692e-03,2.616,0,9,137,1753,81,81
245,1915,2160,0.113426,0.917,9.667230e-02,3.675570e-03,2.5849,0,6,11,1752,81,81
246,1914,2160,0.113889,0.917,9.695973e-02,3.082774e-03,2.5732,0,6,22,1751,81,81
247,1913,2160,0.114352,0.917,9.729002e-02,3.209765e-03,2.5741,0,6,97,1750,81,81
248,1912,2160,0.114815,0.917,9.769403e-02,4.670508e-03,2.5722,0,5,29,1749,81,81
249,1911,2160,0.115278,0.917,1.002224e-01,1.153198e-02,2.5996,1,5,6,1749,80,81
250,1910,2160,0.115741,0.917,1.012903e-01,5.672793e-03,2.5679,0,3,158,1748,80,81
251,1909,2160,0.116204,0.917,1.022885e-01,5.316937e-03,2.5724,0,6,98,1747,80,81
252,1908,2160,0.116667,0.918,1.044209e-01,1.815188e-02,2.6069,2,6,8,1747,80,80
253,1907,2160,0.11713,0.918,1.156851e-01,1.002018e-02,2.6034,0,1,62,1746,80,80
254,1906,2160,0.117593,0.918,1.318628e-01,2.479228e-03,2.5798,0,6,192,1745,80,80
255,1905,2160,0.118056,0.918,1.322122e-01,1.856008e-03,2.592,0,9,194,1744,80,80
256,1904,2160,0.118519,0.918,1.343997e-01,1.569539e-03,2.572,0,9,154,1743,80,80
