step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
104,1956,2060,0.050485,0.928,5.380472e+01,7.591811e-04,0.2145,3.0008,0,3,1,1862,93
105,1955,2060,0.050971,0.928,5.445925e+01,5.685361e-03,0.2152,3.0033,0,2,89,1861,93
106,1954,2060,0.051456,0.928,5.469190e+01,5.181440e-03,0.2141,2.9996,0,2,144,1860,93
107,1953,2060,0.051942,0.928,5.440835e+01,5.346493e-03,0.2199,3.0095,0,2,30,1859,93
108,1952,2060,0.052427,0.928,5.437254e+01,5.100733e-03,0.2209,3.0076,0,2,190,1858,93
109,1951,2060,0.052913,0.928,5.383087e+01,4.007273e-04,0.2123,2.9946,0,4,56,1857,93
110,1950,2060,0.053398,0.928,5.486842e+01,6.452295e-04,0.2196,2.9966,0,9,47,1856,93
111,1949,2060,0.053883,0.928,5.566938e+01,9.571065e-04,0.2255,3.0041,0,8,25,1855,93
112,1948,2060,0.054369,0.928,5.687055e+01,4.763774e-02,0.2151,2.9951,1,1,2,1855,92
113,1947,2060,0.054854,0.926,6.409253e+01,2.146601e-03,0.2123,3.0049,0,5,30,1854,92
114,1946,2060,0.05534,0.926,6.559714e+01,1.003973e-03,0.2134,2.9979,0,8,152,1853,92
115,1945,2060,0.055825,0.926,6.703692e+01,5.267259e-03,0.2123,3.0041,0,2,176,1852,92
116,1944,2060,0.056311,0.926,6.856162e+01,4.671058e-03,0.2098,2.9979,0,2,19,1851,92
117,1943,2060,0.056796,0.926,7.108209e+01,5.264988e-03,0.215,3.0061,0,2,15,1850,92
118,1942,2060,0.057282,0.925,7.161895e+01,5.292481e-03,0.2114,3.0075,0,2,118,1849,92
119,1941,2060,0.057767,0.926,7.265171e+01,5.467935e-03,0.2085,2.9988,0,2,155,1848,92
120,1940,2060,0.058252,0.925,7.254240e+01,6.646424e-03,0.2134,3.0087,0,2,81,1847,92
121,1939,2060,0.058738,0.925,7.028730e+01,5.606428e-03,0.2146,3.0118,0,2,119,1846,92
122,1938,2060,0.059223,0.925,7.218031e+01,2.175768e-03,0.214,2.9966,0,5,177,1845,92
123,1937,2060,0.059709,0.925,7.343987e+01,8.054191e-04,0.2186,2.9927,0,3,25,1844,92
124,1936,2060,0.060194,0.925,7.392461e+01,1.022510e-03,0.2186,2.9958,0,8,6,1843,92
125,1935,2060,0.06068,0.925,7.520449e+01,8.897380e-04,0.2112,3.002,0,1,23,1842,92
126,1934,2060,0.061165,0.925,7.657081e+01,2.353586e-03,0.2129,2.9999,0,5,14,1841,92
127,1933,2060,0.06165,0.925,7.880144e+01,1.170108e-03,0.2095,3.0029,0,0,16,1840,92
128,1932,2060,0.062136,0.926,8.034003e+01,8.862991e-04,0.2116,3.0113,0,3,7,1839,92
129,1931,2060,0.062621,0.925,8.121182e+01,5.135053e-03,0.2182,3.0114,0,2,168,1838,92
130,1930,2060,0.063107,0.925,8.198135e+01,5.915906e-03,0.215,3.0116,0,2,194,1837,92
131,1929,2060,0.063592,0.925,8.077059e+01,5.494480e-03,0.2158,3.0079,0,2,138,1836,92
132,1928,2060,0.064078,0.925,8.279437e+01,6.587510e-03,0.2169,2.9987,0,2,181,1835,92
133,1927,2060,0.064563,0.925,8.301515e+01,6.244477e-03,0.2169,3.0025,0,2,179,1834,92
134,1926,2060,0.065049,0.925,8.178770e+01,5.551147e-03,0.2073,3.0056,0,2,142,1833,92
135,1925,2060,0.065534,0.926,8.411720e+01,6.208160e-03,0.211,3.003,0,2,12,1832,92
136,1924,2060,0.066019,0.925,8.568663e+01,5.467572e-03,0.2169,3.0023,0,2,70,1831,92
137,1923,2060,0.066505,0.926,8.770340e+01,5.819008e-03,0.2183,2.9973,0,2,34,1830,92
138,1922,2060,0.06699,0.925,8.857754e+01,8.703396e-03,0.2152,2.999,0,2,29,1829,92
139,1921,2060,0.067476,0.926,9.032031e+01,6.252052e-03,0.2103,3.0023,0,2,26,1828,92
140,1920,2060,0.067961,0.926,9.138080e+01,6.892748e-03,0.2115,2.9974,0,2,145,1827,92
141,1919,2060,0.068447,0.926,9.483663e+01,5.616427e-03,0.2149,2.9987,0,2,186,1826,92
142,1918,2060,0.068932,0.926,9.275074e+01,6.615058e-03,0.2097,3.0033,0,2,66,1825,92
143,1917,2060,0.069417,0.926,9.571240e+01,5.466212e-03,0.215,3.0053,0,2,95,1824,92
144,1916,2060,0.069903,0.926,9.524266e+01,5.887358e-03,0.2041,2.998,0,2,72,1823,92
145,1915,2060,0.070388,0.926,9.696913e+01,6.437598e-03,0.2213,3.0084,0,2,112,1822,92
146,1914,2060,0.070874,0.926,9.839074e+01,5.575712e-02,0.2098,3.0073,1,0,2,1822,91
147,1913,2060,0.071359,0.923,1.075787e+02,1.195506e-03,0.2161,2.9889,0,0,183,1821,91
148,1912,2060,0.071845,0.923,1.094213e+02,7.254529e-03,0.2132,2.9962,0,2,32,1820,91
149,1911,2060,0.07233,0.923,1.110403e+02,7.159196e-03,0.2089,3.0108,0,2,1,1819,91
150,1910,2060,0.072816,0.923,1.112710e+02,7.482154e-03,0.2178,3.0143,0,2,167,1818,91
151,1909,2060,0.073301,0.923,1.121320e+02,1.912447e-03,0.2099,2.9989,1,0,9,1818,90
152,1908,2060,0.073786,0.923,1.172158e+02,9.018372e-04,0.2175,3.0018,0,6,138,1817,90
153,1907,2060,0.074272,0.923,1.179385e+02,1.022513e-03,0.2123,3.0043,0,1,110,1816,90
154,1906,2060,0.074757,0.923,1.192851e+02,2.663347e-03,0.214,3.0035,0,5,169,1815,90
155,1905,2060,0.075243,0.923,1.201393e+02,1.192043e-03,0.213,3.0089,0,8,91,1814,90
156,1904,2060,0.075728,0.923,1.215354e+02,6.494320e-04,0.212,3.0005,0,7,194,1813,90
157,1903,2060,0.076214,0.923,1.223401e+02,4.401630e-04,0.2137,3.0089,0,4,194,1812,90
158,1902,2060,0.076699,0.923,1.224864e+02,9.636131e-04,0.206,2.9967,0,3,32,1811,90
159,1901,2060,0.077184,0.923,1.235851e+02,6.532423e-04,0.2118,2.9991,0,7,185,1810,90
160,1900,2060,0.07767,0.923,1.245175e+02,9.424334e-04,0.2039,2.9839,0,6,180,1809,90
161,1899,2060,0.078155,0.923,1.256535e+02,9.526412e-04,0.2095,2.9947,0,6,60,1808,90
162,1898,2060,0.078641,0.923,1.268395e+02,1.081124e-03,0.2049,2.9969,0,3,60,1807,90
163,1897,2060,0.079126,0.923,1.256360e+02,5.430943e-04,0.2037,2.9972,0,4,162,1806,90
164,1896,2060,0.079612,0.923,1.269925e+02,2.826168e-03,0.2115,3.0012,0,5,26,1805,90
165,1895,2060,0.080097,0.923,1.289115e+02,2.756480e-03,0.2077,2.9905,0,5,84,1804,90
166,1894,2060,0.080583,0.923,1.311495e+02,1.325471e-03,0.2038,2.9965,0,0,37,1803,90
167,1893,2060,0.081068,0.923,1.329922e+02,2.699495e-03,0.2095,2.997,0,5,113,1802,90
168,1892,2060,0.081553,0.923,1.353111e+02,9.861502e-04,0.2121,3.0028,0,6,124,1801,90
169,1891,2060,0.082039,0.923,1.371921e+02,7.119267e-04,0.2095,3.0031,0,7,126,1800,90
170,1890,2060,0.082524,0.923,1.386682e+02,7.529229e-03,0.2103,3.0027,0,2,91,1799,90
171,1889,2060,0.08301,0.923,1.400650e+02,8.397698e-03,0.2174,3.0002,0,2,99,1798,90
172,1888,2060,0.083495,0.923,1.432857e+02,7.234699e-03,0.2173,2.9873,0,2,16,1797,90
173,1887,2060,0.083981,0.923,1.466560e+02,5.972911e-04,0.2131,3.011,0,4,14,1796,90
174,1886,2060,0.084466,0.923,1.485878e+02,3.326245e-03,0.2151,2.9978,0,5,10,1795,90
175,1885,2060,0.084951,0.923,1.517360e+02,9.253910e-04,0.2065,2.9999,0,9,54,1794,90
176,1884,2060,0.085437,0.923,1.531827e+02,1.384447e-03,0.207,3.0038,0,8,100,1793,90
177,1883,2060,0.085922,0.923,1.554206e+02,8.625509e-03,0.2058,2.9969,0,2,41,1792,90
178,1882,2060,0.086408,0.923,1.580016e+02,1.053783e-02,0.2033,3.0062,0,2,158,1791,90
